,Signal Energy,Fluctuation Index,Skewness Index,Kurtosis Index
0,43135.167225412646,40.100770700225176,133.90253523497472,824.1719126099504
1,43260.569364806004,40.012171221999324,132.94455978661878,820.0874791504398
2,43300.51451656292,40.21602227057642,131.51238797033315,807.1407620120801
3,43297.4928737426,40.465715850783745,129.14956024831227,787.748225794483
4,43249.99951174606,40.66421675699797,126.82612423940695,769.8002338019539
5,43453.078120894425,41.162256352925375,131.6986031617431,789.7028861007788
6,43450.98367782398,41.359469624359896,130.05281138784594,776.1157798680437
7,43226.95998711234,41.32826862759083,117.39252846667435,701.0919405370464
8,43160.930511892206,41.59346951784592,113.62774433690933,674.2810686700509
9,43132.20138905505,41.96402329540858,109.3138597249643,642.9539059953977
10,43093.75670644425,42.275090301707046,106.20624345452217,620.0792999862132
11,43027.342335827794,43.25478564479014,91.58739602272581,522.6166922924967
12,42964.10982449615,43.765230701885294,83.10585646065826,468.68832669763793
13,42923.27404226962,44.194726612247116,79.28186883927938,442.7771052786283
14,42812.536414914444,45.263374123899105,59.043096440001385,321.961491055948
15,42675.4634617085,46.29426557582882,37.54155190821622,200.1551424100688
16,42647.30905750286,46.94714709448046,30.512655929668014,160.41779236392912
17,42521.08483629523,48.706366715125334,-5.031989793194512,-25.499739676131735
18,42449.09714316959,49.996000633354676,-26.917771322648083,-132.8879384182149
19,43255.659433646324,41.167217859783115,119.25217360189536,714.9843164979007
20,43235.804297556206,41.68963726658015,113.85758236848626,674.0864090495627
21,43143.01835560537,42.41841299794056,106.8968963578695,622.002899880126
22,43020.54357317121,43.25005785520969,93.93519924466791,536.0723380260447
23,43137.576850328114,43.69978333786802,104.24479216197983,588.7851034426129
24,42795.85229967126,45.286684153601946,60.55384689301132,330.0296392973507
25,42582.41096753058,47.15379289559527,20.066443983911142,105.0353567733732
26,42535.7153313776,48.1844038091212,6.9785194892034275,35.74691235335553
27,42373.91020576375,50.13964240626974,-31.874806446065165,-156.90907188633136
28,42122.53729846384,55.121205829876665,-151.2621698021035,-677.3191362099739
29,42422.27140466239,51.39391312224782,-30.031315969434516,-144.2262816245081
30,23129.94996887018,30.755786252294683,134.8857803951485,1082.4829498585311
31,23100.64418991212,31.14136017028632,132.92019996314642,1053.5014508882025
32,23039.81521003595,31.433330844750575,133.49804208164252,1048.253261169502
33,22981.202859093122,31.720190527479087,134.72782195500577,1048.3425934208078
34,22924.26211755075,31.856796076958226,135.11537586012727,1046.8498803200418
35,22942.083011445317,32.08770016054249,133.54496368439575,1027.236998268752
36,22877.35194719298,32.30084302067494,134.81328461292966,1030.1502267421984
37,22816.886561047988,32.436232235827696,136.2653640540364,1036.899844130775
38,22782.42252645627,32.67892162225598,137.0767806435634,1035.3278795533263
39,22762.56295772665,32.844537202025165,136.73102748011718,1027.5090604685486
40,22756.724166014057,32.97715678251164,135.61180574695067,1014.9999466524685
41,22729.706871773007,33.158198185866404,135.21853555166595,1006.5307206841753
42,41003.79670887643,63.67933845984523,-167.8008172308349,-650.3950962044023
43,22784.578076137917,33.314576459796214,135.23680960193886,1001.9414646416878
44,22644.302147786704,33.422557698690866,137.9602299717019,1018.816470991892
45,22577.423202080936,33.636943313198095,139.23613395299105,1021.6853412807864
46,22542.028358141408,33.94992819736544,139.4138522615031,1013.5584464566404
47,22899.051799261666,31.737810998302354,130.3276002200605,1013.5406194046278
48,22906.18174229767,32.77528185261892,130.41181487450987,982.0921354587758
49,22802.021354988294,33.19908067482832,133.19397334129044,990.2395010326702
50,22679.102635973377,33.35710277762222,136.86518628507227,1012.7130335257445
51,22643.107654647996,33.82246865169007,137.181859772655,1001.0899763437817
52,22559.252994126207,33.964507359606564,138.98545371911064,1010.0101983880969
53,22534.710428790288,34.22292391429331,138.2889592279446,997.3604121238478
54,22481.88554016838,34.51625112190952,139.0378607305711,994.2398968804824
55,22432.394545993415,34.82127157383255,139.59800792777156,989.501197683827
56,22370.001168881226,35.02161434117787,140.76160039677723,992.0413261237888
57,22340.86124029245,35.18081005372355,141.39803495113642,992.0173514239708
58,22318.37648421778,35.41868907020405,139.9187977786739,975.0464637922767
59,22263.41592596668,35.601737568524946,141.35768806453487,980.008784488644
60,22186.67310981493,35.698476793590395,143.53908267169572,992.4353157923988
61,22129.187733172916,36.03246242073323,143.65347559395974,984.0199991562483
62,22114.08711551573,36.19430917282759,144.14936355090757,983.0014692601535
63,22070.21137826318,36.556129722442954,141.83644182243938,957.6555889382926
64,22089.064566519137,36.840760254157274,145.03636486137768,971.6951878488371
65,21973.613996407246,36.75277342675934,146.16190049193946,981.5802096034839
